strengths wavelengths species
0.778 3039.7407 "Cr 1"
0.292 3039.7668 "V 2"
0.971 3039.775 "Cr 1"
0.677 3039.7928 "Fe 1"
0.229 3039.842 "Cr 1"
0.213 3039.9175 "Sc 2"
0.992 3040.4269 "Fe 1"
0.892 3040.5087 "Fe 1"
0.903 3040.5998 "Mn 1"
0.879 3040.7651 "Fe 1"
0.289 3040.8117 "Co 1"
0.972 3040.841 "Cr 1"
0.453 3040.8459 "Fe 2"
0.415 3040.867 "Fe 1"
0.506 3040.9 "Os 1"
0.928 3040.9236 "Cr 2"
0.815 3040.9473 "Fe 1"
0.28 3040.963 "Fe 1"
0.226 3041.0239 "OH 1"
0.441 3041.0297 "Fe 1"
0.572 3041.0624 "Ca 1"
0.516 3041.2197 "Mn 1"
0.845 3041.4222 "V 2"
0.446 3041.4943 "Fe 1"
0.986 3041.6371 "Fe 1"
0.289 3041.7022 "Fe 1"
0.906 3041.7202 "Cr 2"
0.993 3041.7385 "Fe 1"
0.885 3041.8971 "Fe 1"
0.991 3042.0195 "Fe 1"
0.777 3042.1 "Fe 1"
0.247 3042.1553 "Cr 2"
0.88 3042.2664 "V 2"
0.96 3042.4834 "Co 1"
0.844 3042.5393 "Ti 1"
0.758 3042.553 "Ir 2"
0.766 3042.5901 "Fe 1"
0.818 3042.6318 "Pt 1"
0.992 3042.6646 "Fe 1"
0.729 3042.7307 "Mn 1"
0.845 3042.745 "Os 2"
0.837 3042.7738 "Cr 2"
0.904 3042.8424 "Fe 1"
0.68 3043.0194 "Fe 1"
0.865 3043.1192 "V 1"
0.629 3043.1221 "Mn 2"
0.233 3043.135 "Dy 2"
0.657 3043.1384 "Mn 1"
0.872 3043.3514 "Mn 1"
0.932 3043.3702 "Fe 1"
0.782 3043.5316 "V 2"
0.213 3043.533 "OH 1"
0.847 3043.5491 "V 1"
0.669 3043.7655 "Mn 1"
0.915 3043.8471 "Ti 2"
0.779 3043.8661 "Cr 2"
0.989 3044.0037 "Co 1"
0.388 3044.0522 "Co 1"
0.732 3044.1049 "Fe 1"
0.903 3044.106 "Zr 2"
0.35 3044.2137 "Cr 2"
0.951 3044.5635 "Mn 1"
0.866 3044.8394 "Fe 2"
0.363 3044.8784 "Fe 1"
0.827 3044.9325 "V 1"
0.68 3044.9514 "Ti 2"
0.99 3045.0066 "Ni 1"
0.986 3045.0783 "Fe 1"
0.372 3045.1707 "V 2"
0.398 3045.501 "Cr 2"
0.904 3045.5635 "Fe 1"
0.954 3045.5874 "Fe 1"
0.889 3045.591 "Mn 1"
0.461 3045.716 "Sc 2"
0.755 3045.7425 "Ca 1"
0.778 3045.7485 "Fe 1"
0.755 3045.8043 "Mn 1"
0.485 3045.8957 "Ca 1"
0.857 3046.0376 "Fe 1"
0.248 3046.2722 "Mn 2"
0.209 3046.6464 "Fe 1"
0.967 3046.6844 "Ti 2"
0.947 3046.8046 "Fe 1"
0.348 3046.8722 "Cr 1"
0.946 3046.9239 "Fe 1"
0.752 3046.9595 "Fe 1"
0.893 3047.0309 "Mn 1"
0.894 3047.0499 "Fe 1"
0.873 3047.2048 "Fe 1"
0.24 3047.2175 "Mn 2"
0.769 3047.4455 "Cr 1"
0.718 3047.4514 "Fe 1"
0.785 3047.6006 "Fe 2"
0.994 3047.6043 "Fe 1"
0.949 3047.6058 "Cr 2"
0.915 3047.7535 "Cr 2"
0.412 3047.8204 "Ni 1"
0.551 3048.1102 "Co 1"
0.858 3048.221 "V 2"
0.482 3048.3483 "Ti 2"
0.785 3048.3497 "Fe 1"
0.456 3048.398 "Zr 2"
0.745 3048.6533 "V 2"
0.926 3048.7614 "Ti 2"
0.649 3048.8603 "Mn 1"
0.972 3048.889 "Co 1"
0.866 3048.8959 "V 2"
0.688 3048.9912 "Fe 2"
0.41 3049.0022 "Ca 1"
0.665 3049.0233 "Mn 2"
0.274 3049.1399 "Fe 1"
0.938 3049.3516 "Fe 1"
0.362 3049.3805 "Cr 2"
0.885 3049.5365 "Fe 1"
0.34 3049.574 "Fe 2"
0.693 3049.5876 "Fe 1"
0.936 3049.8794 "Cr 1"
0.754 3050.072 "Al 1"
0.927 3050.1304 "Cr 2"
0.797 3050.3451 "Fe 1"
0.326 3050.391 "V 1"
0.855 3050.4965 "Co 1"
0.812 3050.6544 "Mn 2"
0.563 3050.7373 "Cr 2"
0.402 3050.743 "Fe 1"
0.688 3050.7466 "V 2"
0.994 3050.8156 "Ni 1"
0.775 3050.8788 "V 1"
0.37 3050.9347 "Ni 1"
0.204 3051.3843 "OH 1"
0.76 3051.4301 "Mn 2"
0.847 3051.4302 "Fe 1"
0.325 3052.209 "V 1"
0.373 3052.222 "Cr 1"
0.296 3052.2636 "Fe 1"
0.96 3052.4951 "Fe 1"
0.821 3052.5761 "Fe 1"
0.822 3052.7779 "Fe 1"
0.533 3052.919 "Sc 2"
0.721 3052.9423 "Fe 1"
0.973 3053.0655 "Fe 1"
0.437 3053.2493 "Ti 2"
0.938 3053.3911 "V 2"
0.956 3053.4273 "Fe 1"
0.962 3053.4535 "Fe 1"
0.91 3053.5591 "Fe 1"
0.202 3053.572 "Gd 2"
0.644 3053.6485 "Cr 2"
0.931 3053.6542 "V 1"
0.812 3053.7234 "Fe 1"
0.824 3053.757 "Fe 1"
0.457 3053.8096 "Fe 1"
0.232 3053.8594 "Fe 1"
0.976 3053.878 "Cr 1"
0.894 3053.8948 "V 2"
0.651 3053.966 "Fe 1"
0.571 3053.9828 "Fe 1"
0.434 3054.132 "Co 1"
0.392 3054.2419 "V 2"
0.994 3054.3125 "Ni 1"
0.939 3054.3574 "Mn 1"
0.509 3054.439 "Zr 2"
0.498 3054.4667 "Fe 1"
0.343 3054.6055 "Ti 2"
0.745 3054.679 "Al 1"
0.85 3054.7221 "Co 1"
0.91 3054.837 "Zr 2"
0.72 3054.9454 "Fe 1"
0.265 3055.0567 "Cr 1"
0.987 3055.2623 "Fe 1"
0.943 3055.2935 "Fe 1"
0.832 3055.3211 "Ca 1"
0.385 3055.3322 "Cr 2"
0.636 3055.3509 "Fe 2"
0.485 3055.3574 "Fe 1"
0.767 3055.4452 "Cr 2"
0.459 3055.5996 "Ca 1"
0.92 3055.682 "Fe 1"
0.932 3055.7085 "Fe 1"
0.646 3056.1019 "Fe 1"
0.865 3056.1103 "Fe 1"
0.307 3056.2028 "Cr 2"
0.934 3056.2413 "Fe 1"
0.94 3056.3328 "V 1"
0.886 3056.5768 "Fe 1"
0.306 3056.5775 "Cr 2"
0.393 3056.6308 "Cr 2"
0.342 3056.67 "Co 1"
0.968 3056.7378 "Ti 2"
0.225 3056.7735 "Ce 2"
0.874 3056.8014 "Fe 2"
0.786 3056.9969 "Fe 1"
0.839 3057.144 "Al 1"
0.528 3057.221 "Zr 2"
0.599 3057.2491 "Ti 2"
0.978 3057.3925 "Ti 2"
0.994 3057.4454 "Fe 1"
0.994 3057.6388 "Ni 1"
0.964 3057.7875 "Fe 1"
0.639 3057.8528 "Cr 2"
0.677 3057.8722 "Ti 2"
0.43 3057.9099 "Fe 1"
0.916 3057.9552 "Fe 1"
0.932 3058.0364 "Fe 1"
0.763 3058.0519 "Fe 1"
0.976 3058.0875 "Ti 2"
0.237 3058.1268 "Fe 1"
0.336 3058.1792 "Cr 1"
0.742 3058.3393 "Cr 2"
0.926 3058.3631 "Fe 1"
0.952 3058.4921 "Fe 1"
0.356 3058.6494 "Fe 1"
0.835 3058.652 "Os 1"
0.776 3058.7031 "Fe 1"
0.423 3058.9159 "Ti 2"
0.843 3058.9204 "Fe 1"
0.39 3058.9707 "Fe 1"
0.568 3058.9787 "Fe 1"
0.48 3059.03 "Al 1"
0.751 3059.0571 "Mn 2"
0.994 3059.0853 "Fe 1"
0.392 3059.1439 "Mn 1"
0.86 3059.367 "Cr 2"
0.402 3059.4286 "Ti 2"
0.886 3059.4905 "Cr 2"
0.921 3059.5158 "Cr 2"
0.583 3059.5279 "Fe 1"
0.981 3059.7353 "Ti 2"
0.938 3059.7374 "Ti 2"
0.53 3059.8167 "Ti 2"
0.369 3059.924 "Al 1"
0.852 3059.9972 "Fe 1"
0.225 3060.0054 "Fe 2"
0.909 3060.0499 "Co 1"
0.728 3060.115 "Zr 2"
0.899 3060.3434 "Fe 1"
0.823 3060.425 "Zr 2"
0.947 3060.4522 "V 1"
0.535 3060.4815 "Er 2"
0.943 3060.5375 "Fe 1"
0.291 3060.6041 "Cr 1"
0.919 3060.6209 "Fe 1"
0.3 3060.6594 "Ti 2"
0.937 3060.7768 "Fe 1"
0.973 3060.9832 "Fe 1"
0.521 3061.0164 "Co 1"
0.34 3061.1076 "Fe 1"
0.268 3061.1582 "Fe 1"
0.776 3061.334 "Zr 2"
0.413 3061.5365 "Fe 1"
0.747 3061.5707 "Cr 2"
0.87 3061.5946 "Fe 1"
0.799 3061.647 "Cr 1"
0.986 3061.8198 "Co 1"
0.684 3061.8285 "Cr 1"
0.233 3061.8285 "Cr 2"
0.574 3061.9089 "Fe 1"
0.765 3061.9598 "Fe 1"
0.577 3061.9786 "Co 1"
0.88 3062.114 "Mn 1"
0.222 3062.1652 "V 2"
0.916 3062.1976 "Co 1"
0.933 3062.2358 "Fe 2"
0.232 3062.318 "Ti 2"
0.308 3062.615 "Dy 2"
0.72 3062.7028 "V 2"
0.282 3062.8024 "Fe 1"
0.705 3062.8232 "Fe 1"
0.889 3062.8667 "Fe 1"
0.885 3062.8904 "Fe 1"
0.422 3063.0035 "Ce 2"
0.747 3063.0776 "Fe 1"
0.903 3063.1492 "Fe 1"
0.727 3063.2155 "Ti 2"
0.277 3063.2444 "Co 1"
0.479 3063.246 "Cr 2"
0.381 3063.2516 "Fe 1"
0.871 3063.2556 "V 2"
0.228 3063.3335 "Fe 1"
0.37 3063.4022 "Fe 1"
0.373 3063.4088 "Cu 1"
0.934 3063.4915 "Ti 2"
0.813 3063.5644 "OH 1"
0.219 3063.5898 "Ni 2"
0.293 3063.7231 "Ti 2"
0.808 3063.7236 "OH 1"
0.342 3063.7243 "V 1"
0.813 3063.7304 "OH 1"
0.264 3063.7813 "OH 1"
0.761 3063.831 "Cr 2"
0.298 3063.9208 "OH 1"
0.954 3063.9295 "Fe 1"
0.725 3063.9325 "Ni 2"
0.232 3063.9671 "OH 1"
0.403 3064.0276 "Mn 1"
0.349 3064.0711 "Ti 2"
0.8 3064.1913 "OH 1"
0.811 3064.2362 "OH 1"
0.741 3064.29 "Al 1"
0.332 3064.3688 "OH 1"
0.944 3064.3692 "Co 1"
0.75 3064.4992 "Fe 1"
0.626 3064.5165 "Fe 1"
0.2 3064.5183 "Cr 1"
0.993 3064.6186 "Ni 1"
0.537 3064.642 "Zr 2"
0.799 3064.6967 "Fe 1"
0.936 3064.7114 "Pt 1"
0.784 3064.95 "OH 1"
0.329 3065.0273 "Fe 1"
0.396 3065.0554 "Ti 2"
0.597 3065.0607 "Cr 1"
0.807 3065.0943 "OH 1"
0.37 3065.1069 "OH 1"
0.57 3065.111 "Sc 2"
0.461 3065.207 "Zr 2"
0.343 3065.301 "Pd 1"
0.883 3065.3154 "Fe 2"
0.385 3065.5076 "Ti 2"
0.706 3065.6069 "V 2"
0.258 3065.9265 "Mn 2"
0.789 3065.947 "Fe 1"
0.757 3065.9759 "OH 1"
0.918 3066.014 "Mn 1"
0.403 3066.1132 "OH 1"
0.748 3066.144 "Al 1"
0.992 3066.2183 "Ti 2"
0.799 3066.3179 "OH 1"
0.991 3066.3463 "Ti 2"
0.955 3066.3699 "V 1"
0.223 3066.3745 "Ca 1"
0.875 3066.4318 "Ni 1"
0.96 3066.4786 "Fe 1"
0.965 3066.5042 "Ti 2"
0.854 3066.5231 "V 1"
0.927 3066.5783 "Fe 1"
0.743 3066.6834 "Fe 1"
0.542 3066.8095 "Fe 1"
0.214 3066.8135 "V 2"
0.429 3066.897 "Fe 1"
0.343 3066.9568 "Ca 1"
0.956 3066.997 "Fe 1"
0.923 3067.021 "Ge 1"
0.381 3067.0869 "Ca 1"
0.402 3067.0984 "Fe 1"
0.933 3067.1042 "V 2"
0.983 3067.1183 "Fe 1"
0.906 3067.1409 "Cr 2"
0.858 3067.1664 "Cr 2"
0.233 3067.1675 "Cr 1"
0.736 3067.193 "Cr 1"
0.71 3067.2407 "OH 1"
0.994 3067.2436 "Fe 1"
0.324 3067.323 "Fe 1"
0.432 3067.3565 "OH 1"
0.68 3067.6319 "Fe 1"
0.802 3067.662 "OH 1"
0.859 3067.707 "Bi 1"
