Species, Wavelength, Priority
"Ti II", 4395.003, 1
"Ti II", 4395.833, 1
"Ti II", 4398.25, 1
"Ti II", 4399.785, 1
"Ti II", 4409.243, 1
"Ti II", 4409.514, 1
"Ti II", 4411.095, 1
"Ti II", 4411.921, 1
"Ti II", 4417.715, 1
"Ti II", 4418.307, 1
"Ti II", 4421.955, 1
"Ti II", 4427.882, 1
"Ti II", 4441.73, 1
"Ti II", 4443.776, 1
"Ti II", 4444.536, 1
"Ti II", 4450.504, 1
"Ti II", 4464.462, 1
"Ti II", 4468.517, 1
"Ti II", 4469.116, 1
"Ti II", 4470.835, 1
"Ti II", 4488.342, 1
"Ti II", 4493.53, 1
"Ti II", 4500.353, 1
"Ti II", 4501.269, 1
"Ti II", 4506.743, 1
"Ti II", 4518.327, 1
"Ti II", 4524.701, 1
"Ti II", 4525.242, 1
"Ti II", 4529.48, 1
"Ti II", 4533.973, 1
"Ti II", 4544.018, 1
"Ti II", 4545.143, 1
"Ti II", 4549.611, 1
"Ti II", 4549.814, 1
"Ti II", 4552.294, 1
"Ti II", 4563.77, 1
"Ti II", 4568.31, 1
"Ti II", 4571.958, 1
"Ti II", 4583.409, 1
"Ti II", 4589.916, 1
"Ti II", 4609.264, 1
"Ti II", 4626.995, 1
"Ti II", 4636.342, 1
"Ti II", 4655.773, 1
"Ti II", 4657.212, 1
"Ti II", 4662.761, 1
"Ti II", 4689.502, 1
"Ti II", 4708.652, 1
"Ti II", 4719.533, 1
"Ti II", 4762.789, 1
"Ti II", 4763.893, 1
"Ti II", 4764.535, 1
"Ti II", 4779.981, 1
"Ti II", 4798.507, 1
"Ti II", 4805.09, 1
"Ti II", 4806.321, 1
"Ti II", 4849.169, 1
"Ti II", 4865.614, 1
"Ti II", 4874.007, 1
"Ti II", 4911.176, 1
"Ti II", 4981.355, 1
"Ti II", 5005.16, 1
"Ti II", 5010.199, 1
"Ti II", 5013.679, 1
"Ti II", 5037.791, 1
"Ti II", 5069.089, 1
"Ti II", 5072.271, 1
"Ti II", 5129.155, 1
"Ti II", 5131.303, 1
"Ti II", 5154.06, 1
"Ti II", 5185.902, 1
