wavelength, species, priority
3472.4939, Fe IX, 3.33
3479.7129, N IV, 80.6
3483.9939, N IV, 43.3
3485.926, N IV, 15.9
3488.3379, Mg VI, 3.46
3489.9207, Mg VI, 5.62
3498.2971, S III, 81.7
3503.2468, Mg VI, 1.93
3533.8191, Fe X, 3.38
3545.98, Fe VIII *, 1.24
3575.387, Fe X, 1.1
3602.2539, Ni XVI, 184.0
3602.6641, Al III, 7.6
3613.3921, Al III, 4.13
3614.679, He I, 7.76
3633.041, S III, 10.2
3644.0825, Fe IX, 18.2
3646.8467, Ca XVII, 66.9
3657.6089, S III, 1.59
3662.9829, S III, 4.6
3677.1533, Fe XI, 1.09
3708.3259, O III, 1.1
3710.4009, S III, 7.34
3711.49, S III, 1.04
3716.147, O III, 1.94
3718.7771, S III, 11.2
3736.9277, Ni XI, 1.86
3737.9121, O IV, 29.3
3738.7439, Fe XXIII *, 3.23
3748.9341, S III, 3.69
3751.7891, S III, 1.78
3755.7629, O III, 99.1
3758.2991, O III, 36.6
3760.9451, O III, 196.0
3765.1741, Fe II, 1.71
3775.0991, O III, 26.1
3779.926, S III, 2.26
3792.3501, O III, 30.5
3802.1003, Fe IX, 10.6
3812.0649, O III, 1.65
3826.0139, Fe II, 3.92
3832.9209, S III, 3.36
3835.54, Ti XVII, 22.5
3838.823, S III, 4.23
3839.3679, S III, 16.3
3854.7581, Si II, 35.0
3857.1111, Si II, 315.0
3861.7261, S III, 1.05
3863.6899, Si II, 175.0
3869.8491, Ne III, 1.95
3873.864, Fe II, 1.38
3889.7141, He I, 1220.0
3889.7549, He I, 3650.0
3889.7581, He I, 6070.0
3901.7791, Al II, 795.0
3921.439, S III, 1.51
3929.6831, S III, 13.8
3962.6621, S III, 1.46
3962.696, O III, 1.55
3965.8579, He I, 28.9
3966.262, O III, 1.32
3975.291, Fe II, 1.44
3984.865, S III, 5.53
3987.072, S III, 2.83
3988.0115, Fe XI, 16.9
3999.0649, S III, 2.15
4003.2141, Fe II, 1.24
4027.3301, He I, 5.52
4027.3311, He I, 77.8
4027.3311, He I, 444.0
4027.342, He I, 83.0
4027.344, He I, 233.0
4027.502, He I, 110.0
4039.759, Cr XVIII, 8.12
4047.7429, O IV *, 2.44
4073.8589, Si II, 1.1
4076.603, Si II, 9.96
4077.9309, Si II, 5.66
4087.4795, Ca XIII, 65.0
4098.5122, N III, 115.0
4104.5508, N III, 57.1
4121.981, He I, 214.0
4121.9941, He I, 128.0
4122.1621, He I, 42.9
4129.2192, Si II, 41.9
4132.0381, Si II, 2.98
4132.0591, Si II, 60.6
4232.0962, Ni XII, 37.0
4254.71, S III, 8.88
4286.1128, S III, 4.04
4312.7612, Fe X, 2.3
4333.8901, S III, 1.97
4339.7212, Si III, 55.7
4341.437, S III, 1.18
4341.6548, HI, 1120.0
4341.6592, HI, 480.0
4341.6611, HI, 627.0
