Wavelength, Species, Priority
3067.662, OH1, 0.802
3067.707, Bi1, 0.859
3067.7755, OH1, 0.8
3067.9194, OH1, 0.788
3067.9394, OH1, 0.801
3067.9478, Fe1, 0.919
3068.025, Zr2, 0.792
3068.1733, Fe1, 0.984
3068.2624, Fe1, 0.857
3068.2795, OH1, 0.795
3068.3002, Fe1, 0.804
3068.4459, Fe1, 0.455
3068.6082, OH1, 0.796
3068.645, Gd2, 0.537
3068.704, OH1, 0.629
3068.7242, Fe1, 0.56
3068.7608, Fe2, 0.647
3068.7847, Ti2, 0.423
3068.7991, OH1, 0.449
3068.886, Ir1, 0.304
3068.8926, Cu1, 0.718
3069.1771, OH1, 0.783
3069.3308, Fe1, 0.415
3069.4305, Fe1, 0.924
3069.5107, Fe1, 0.475
3069.6461, V1, 0.767
3069.6749, OH1, 0.789
3069.9118, OH1, 0.774
3070.0911, Fe1, 0.682
3070.2263, Fe1, 0.952
3070.2593, Mn1, 0.912
3070.3149, OH1, 0.5
3070.3894, OH1, 0.445
3070.4783, OH1, 0.765
3070.5378, Fe1, 0.832
3070.5442, Co1, 0.229
3070.5784, Fe2, 0.331
3070.6909, Fe2, 0.858
3070.7021, Fe1, 0.204
3070.742, Er2, 0.356
3070.7486, Co1, 0.347
3070.7823, Fe1, 0.775
3070.8211, Mn2, 0.265
3070.8531, Co1, 0.375
3071.006, Cr2, 0.277
3071.0336, Cr1, 0.22
3071.1245, Fe1, 0.897
3071.1253, Fe2, 0.618
3071.1459, OH1, 0.778
3071.2091, Fe1, 0.643
3071.2385, Ti2, 0.967
3071.259, Cr1, 0.221
3071.272, Fe1, 0.916
3071.2908, Cr1, 0.644
3071.5618, Cr2, 0.677
3071.5662, Ca1, 0.521
3071.6551, Fe2, 0.524
3071.6788, Fe1, 0.734
3071.908, Dy2, 0.257
3071.9605, Co1, 0.927
3072.0033, Ca1, 0.306
3072.0092, OH1, 0.279
3072.0457, Fe1, 0.911
3072.061, Zn1, 0.645
3072.063, OH1, 0.377
3072.1072, Ti2, 0.992
3072.2006, OH1, 0.732
3072.2908, Fe1, 0.897
3072.3097, OH1, 0.758
3072.343, Co1, 0.982
3072.4588, Ti2, 0.757
3072.463, Cr2, 0.744
3072.4897, Fe1, 0.903
3072.569, Gd2, 0.347
3072.6728, Co1, 0.275
3072.9701, Ti2, 0.993
3073.0286, OH1, 0.765
3073.1225, Mn1, 0.932
3073.18, Mn1, 0.919
3073.2265, Cr2, 0.74
3073.2339, Fe1, 0.842
3073.344, Er2, 0.363
3073.5133, Fe1, 0.639
3073.5779, Fe1, 0.435
3073.674, Cr1, 0.872
3073.7948, Cu1, 0.351
3073.8172, V1, 0.882
3073.8647, Fe1, 0.436
3073.8826, Fe1, 0.889
