Wavelength, Species, Priority
6176.2215, 5-0_OH, 1.0
6176.3486, 5-0_OH, 1.0
6181.7542, 5-0_OH, 1.0
6181.945, 5-0_OH, 1.0
6184.2632, 5-0_OH, 1.0
6184.5497, 5-0_OH, 1.0
6192.3266, 5-0_OH, 1.0
6192.4658, 5-0_OH, 1.0
6192.9085, 5-0_OH, 1.0
6192.9626, 5-0_OH, 1.0
6194.8499, 5-0_OH, 1.0
6195.3635, 5-0_OH, 1.0
6202.6869, 5-0_OH, 1.0
6202.7504, 5-0_OH, 1.0
6205.756, 5-0_OH, 1.0
6205.7753, 5-0_OH, 1.0
6208.0593, 5-0_OH, 1.0
6208.8671, 5-0_OH, 1.0
6210.0, HgP_ML_broad, 1.0
6213.0445, 5-0_OH, 1.0
6213.0696, 5-0_OH, 1.0
6221.7086, 5-0_OH, 1.0
6221.8309, 5-0_OH, 1.0
6221.8487, 5-0_OH, 1.0
6222.0141, 5-0_OH, 1.0
6223.1179, 5-0_OH, 1.0
6223.9544, 5-0_OH, 1.0
6234.2888, 9-3_OH, 1.0
6234.2977, 9-3_OH, 1.0
6235.6634, 9-3_OH, 1.0
6235.6735, 9-3_OH, 1.0
6235.9407, 9-3_OH, 1.0
6235.9543, 9-3_OH, 1.0
6236.0053, 5-0_OH, 1.0
6236.022, 5-0_OH, 1.0
6236.9647, 9-3_OH, 1.0
6237.0176, 9-3_OH, 1.0
6237.3947, 9-3_OH, 1.0
6237.4266, 9-3_OH, 1.0
6240.18, 9-3_OH, 1.0
6240.222, 9-3_OH, 1.0
6240.3062, 9-3_OH, 1.0
6240.3638, 9-3_OH, 1.0
6240.6922, 5-0_OH, 1.0
6241.104, 5-0_OH, 1.0
6241.6858, 9-3_OH, 1.0
6241.6881, 9-3_OH, 1.0
6242.5861, 5-0_OH, 1.0
6243.5452, 5-0_OH, 1.0
6243.7374, 5-0_OH, 1.0
6244.166, 5-0_OH, 1.0
6247.3427, 9-3_OH, 1.0
6247.9615, 9-3_OH, 1.0
6248.0506, 9-3_OH, 1.0
6256.8988, 9-3_OH, 1.0
6256.9802, 9-3_OH, 1.0
6257.9461, 9-3_OH, 1.0
6257.9708, 9-3_OH, 1.0
6259.2798, 9-3_OH, 1.0
6261.7199, 5-0_OH, 1.0
6261.7921, 5-0_OH, 1.0
6262.6633, 9-3_OH, 1.0
6262.8038, 9-3_OH, 1.0
6265.1669, 9-3_OH, 1.0
6265.26, 9-3_OH, 1.0
6266.0599, 5-0_OH, 1.0
6268.2687, 5-0_OH, 1.0
6268.5399, 5-0_OH, 1.0
6272.2164, 9-3_OH, 1.0
6272.3726, 9-3_OH, 1.0
6273.9468, 9-3_OH, 1.0
6275.4847, 9-3_OH, 1.0
6275.6978, 9-3_OH, 1.0
6278.0585, 9-3_OH, 1.0
6278.12, 9-3_OH, 1.0
6285.4812, 9-3_OH, 1.0
6285.6001, 9-3_OH, 1.0
6287.4043, 9-3_OH, 1.0
6287.4593, 9-3_OH, 1.0
6289.0331, 9-3_OH, 1.0
6289.4197, 9-3_OH, 1.0
6290.227, 5-0_OH, 1.0
6290.3615, 5-0_OH, 1.0
6295.2839, 5-0_OH, 1.0
6295.9278, 5-0_OH, 1.0
6297.878, 9-3_OH, 1.0
6297.926, 9-3_OH, 1.0
6300.3, OI_AN, 1.0
6302.4042, 9-3_OH, 1.0
6302.434, 9-3_OH, 1.0
6305.926, 9-3_OH, 1.0
6306.541, 9-3_OH, 1.0
6306.8676, 9-3_OH, 1.0
6306.9794, 9-3_OH, 1.0
6321.3893, 9-3_OH, 1.0
6321.4053, 9-3_OH, 1.0
6321.5712, 5-0_OH, 1.0
6321.7751, 5-0_OH, 1.0
